epoch,filter_index,l2,delta_l2
1,0,0.820330,
1,1,0.851258,
1,2,0.859480,
1,3,0.776569,
1,4,0.817840,
1,5,0.793187,
1,6,0.778329,
1,7,0.822700,
1,8,0.868986,
1,9,0.790173,
1,10,0.797521,
1,11,0.859408,
1,12,0.813846,
1,13,0.856776,
1,14,0.754910,
1,15,0.837185,
1,16,0.830858,
1,17,0.787211,
1,18,0.827265,
1,19,0.820256,
1,20,0.814297,
1,21,0.829458,
1,22,0.820821,
1,23,0.777575,
1,24,0.779553,
1,25,0.805664,
1,26,0.831890,
1,27,0.806772,
1,28,0.817906,
1,29,0.802701,
1,30,0.799596,
1,31,0.846151,
1,32,0.833063,
1,33,0.803501,
1,34,0.824108,
1,35,0.799667,
1,36,0.779089,
1,37,0.736112,
1,38,0.780813,
1,39,0.824086,
1,40,0.814016,
1,41,0.798223,
1,42,0.833957,
1,43,0.794062,
1,44,0.844206,
1,45,0.794580,
1,46,0.812657,
1,47,0.818103,
1,48,0.806567,
1,49,0.815948,
1,50,0.830029,
1,51,0.835913,
1,52,0.768755,
1,53,0.759527,
1,54,0.825133,
1,55,0.776381,
1,56,0.801448,
1,57,0.814208,
1,58,0.767589,
1,59,0.793820,
1,60,0.836031,
1,61,0.784256,
1,62,0.847571,
1,63,0.831800,
1,64,0.841213,
1,65,0.861037,
1,66,0.836355,
1,67,0.849913,
1,68,0.818342,
1,69,0.811262,
1,70,0.844230,
1,71,0.823502,
1,72,0.836726,
1,73,0.781257,
1,74,0.836183,
1,75,0.807917,
1,76,0.841935,
1,77,0.816615,
1,78,0.829961,
1,79,0.780607,
1,80,0.814939,
1,81,0.778123,
1,82,0.789598,
1,83,0.827155,
1,84,0.814907,
1,85,0.775092,
1,86,0.835046,
1,87,0.786432,
1,88,0.835854,
1,89,0.827475,
1,90,0.836543,
1,91,0.815894,
1,92,0.803219,
1,93,0.812033,
1,94,0.863722,
1,95,0.811109,
1,96,0.849039,
1,97,0.844411,
1,98,0.839124,
1,99,0.800938,
1,100,0.791755,
1,101,0.836903,
1,102,0.774252,
1,103,0.847386,
1,104,0.833233,
1,105,0.792409,
1,106,0.800621,
1,107,0.774253,
1,108,0.842122,
1,109,0.826190,
1,110,0.798777,
1,111,0.849479,
1,112,0.813931,
1,113,0.829198,
1,114,0.776112,
1,115,0.804805,
1,116,0.822165,
1,117,0.809429,
1,118,0.776872,
1,119,0.792252,
1,120,0.819729,
1,121,0.790223,
1,122,0.821915,
1,123,0.794170,
1,124,0.812573,
1,125,0.798260,
1,126,0.814527,
1,127,0.865551,
2,0,0.820216,0.027426
2,1,0.852021,0.026227
2,2,0.862321,0.024478
2,3,0.777555,0.026249
