epoch,filter_index,l2,delta_l2
1,0,1.378372,
1,1,1.430768,
1,2,1.418374,
2,0,1.376636,0.015486
2,1,1.428865,0.021153
2,2,1.419751,0.021611
3,0,1.375550,0.015290
3,1,1.428264,0.019935
3,2,1.422061,0.020337
4,0,1.375095,0.015450
4,1,1.429086,0.018713
4,2,1.425314,0.019008
5,0,1.375411,0.015003
5,1,1.431290,0.017709
5,2,1.429365,0.017911
6,0,1.376399,0.014432
6,1,1.434523,0.016379
6,2,1.433779,0.016544
7,0,1.378299,0.013597
7,1,1.438564,0.014572
7,2,1.438223,0.014956
8,0,1.381133,0.013529
8,1,1.443396,0.013434
8,2,1.442486,0.013628
9,0,1.384884,0.013812
9,1,1.449031,0.013032
9,2,1.446675,0.012808
10,0,1.389635,0.014385
10,1,1.455631,0.013409
10,2,1.451209,0.012894
11,0,1.395076,0.015152
11,1,1.463092,0.013879
11,2,1.455857,0.012798
12,0,1.400967,0.016282
12,1,1.471515,0.014663
12,2,1.460365,0.012502
13,0,1.407204,0.017418
13,1,1.480571,0.015076
13,2,1.463887,0.011404
14,0,1.413831,0.018534
14,1,1.490326,0.015717
14,2,1.466655,0.011043
15,0,1.420829,0.019658
15,1,1.501148,0.016815
15,2,1.469482,0.011715
16,0,1.428174,0.020777
16,1,1.513131,0.018040
16,2,1.472656,0.012657
17,0,1.435977,0.021764
17,1,1.526023,0.018936
17,2,1.475618,0.013188
18,0,1.444180,0.022458
18,1,1.539676,0.019625
18,2,1.478503,0.013664
19,0,1.452865,0.022991
19,1,1.553987,0.020174
19,2,1.481571,0.014125
20,0,1.462063,0.023362
20,1,1.568746,0.020505
20,2,1.484373,0.014323
21,0,1.471466,0.023497
21,1,1.583950,0.020869
21,2,1.487507,0.014685
22,0,1.480395,0.022953
22,1,1.599397,0.020978
22,2,1.491119,0.015065
23,0,1.488544,0.022050
23,1,1.614691,0.020600
23,2,1.494696,0.015099
24,0,1.496199,0.021204
24,1,1.629711,0.020101
24,2,1.498413,0.015074
25,0,1.503169,0.020082
25,1,1.644248,0.019366
25,2,1.502338,0.015004
26,0,1.509456,0.018943
26,1,1.658193,0.018536
26,2,1.506524,0.014877
27,0,1.515132,0.018069
27,1,1.671470,0.017653
27,2,1.511182,0.014373
28,0,1.520198,0.017104
28,1,1.683645,0.016445
28,2,1.516428,0.013279
29,0,1.524748,0.015688
29,1,1.694530,0.014976
29,2,1.521877,0.012172
30,0,1.529013,0.013946
30,1,1.704362,0.013354
30,2,1.527239,0.011316
31,0,1.533364,0.012408
31,1,1.713232,0.012096
31,2,1.532709,0.010718
32,0,1.537459,0.011238
32,1,1.721164,0.010891
32,2,1.538172,0.010184
33,0,1.541667,0.010455
33,1,1.728336,0.009855
33,2,1.543602,0.009730
34,0,1.545751,0.009962
34,1,1.734787,0.008852
34,2,1.548945,0.009276
35,0,1.549193,0.009571
35,1,1.740412,0.007965
35,2,1.554151,0.008835
36,0,1.552082,0.009461
36,1,1.745287,0.007496
36,2,1.559223,0.008525
37,0,1.554456,0.009331
37,1,1.749627,0.006971
37,2,1.564043,0.007942
38,0,1.556352,0.008986
38,1,1.753346,0.006359
38,2,1.568634,0.007503
39,0,1.557980,0.009024
39,1,1.756575,0.005450
39,2,1.573059,0.007119
40,0,1.560035,0.008774
40,1,1.759630,0.004459
40,2,1.577175,0.006598
41,0,1.562692,0.008955
41,1,1.762763,0.004223
41,2,1.580797,0.006471
42,0,1.565671,0.009076
42,1,1.765758,0.004060
42,2,1.584254,0.006065
43,0,1.568430,0.009351
43,1,1.768338,0.004118
43,2,1.587778,0.005830
44,0,1.571120,0.009680
44,1,1.770640,0.004059
44,2,1.591230,0.005859
45,0,1.574584,0.009097
45,1,1.773139,0.003566
45,2,1.594544,0.005967
46,0,1.578449,0.008705
46,1,1.775603,0.003685
46,2,1.597887,0.005870
47,0,1.582623,0.008964
47,1,1.778036,0.003837
47,2,1.601274,0.005966
48,0,1.587143,0.009242
48,1,1.780697,0.004304
48,2,1.604527,0.006101
49,0,1.591914,0.009432
49,1,1.783502,0.004557
49,2,1.607660,0.006276
50,0,1.596627,0.009127
50,1,1.786016,0.003931
50,2,1.610989,0.006013
51,0,1.601535,0.009186
51,1,1.788528,0.003954
51,2,1.614506,0.006515
52,0,1.607276,0.009984
52,1,1.791480,0.004462
52,2,1.617959,0.006554
53,0,1.613587,0.010819
53,1,1.794717,0.005251
53,2,1.621235,0.006697
54,0,1.619405,0.010048
54,1,1.797602,0.004226
54,2,1.624595,0.006329
55,0,1.624600,0.009493
55,1,1.800060,0.003808
55,2,1.628112,0.006379
56,0,1.629708,0.009094
56,1,1.802605,0.004035
56,2,1.631449,0.006370
57,0,1.634553,0.008640
57,1,1.805076,0.004034
57,2,1.634656,0.006135
58,0,1.639178,0.008573
58,1,1.807376,0.003747
58,2,1.637664,0.005721
59,0,1.643909,0.008460
59,1,1.809773,0.003794
59,2,1.640575,0.005532
60,0,1.648981,0.008776
60,1,1.812400,0.004348
60,2,1.643534,0.005695
61,0,1.654085,0.008929
61,1,1.815222,0.005415
61,2,1.646297,0.005914
62,0,1.659082,0.009024
62,1,1.818195,0.005695
62,2,1.649245,0.006470
63,0,1.663368,0.008560
63,1,1.820704,0.004046
63,2,1.652284,0.006561
64,0,1.667102,0.009324
64,1,1.822697,0.003568
64,2,1.655369,0.006046
65,0,1.671495,0.008337
65,1,1.825117,0.003840
